[BOOT] 2024-02-08T12:13:55Z CrowdSense System Init... OK
[DATA] 2024-02-08T12:13:55Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-69 | FC:0x4000 | SEQ:0001 | MAC:1e:89:b6:1d:c5:a8 | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:55Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-46 | FC:0x4000 | SEQ:0002 | MAC:1e:89:b6:1d:c5:a8 | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:55Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-91 | FC:0x4000 | SEQ:0003 | MAC:1e:89:b6:1d:c5:a8 | SSID:
[DATA] 2024-02-08T12:13:55Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-55 | FC:0x4000 | SEQ:0004 | MAC:1e:89:b6:1d:c5:a8 | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:55Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-57 | FC:0x4000 | SEQ:0005 | MAC:1e:89:b6:1d:c5:a8 | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:55Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-47 | FC:0x4000 | SEQ:0006 | MAC:1e:89:b6:1d:c5:a8 | SSID:
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-75 | FC:0x4000 | SEQ:0007 | MAC:62:f9:53:e3:75:ce | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-61 | FC:0x4000 | SEQ:0008 | MAC:62:f9:53:e3:75:ce | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-60 | FC:0x4000 | SEQ:0009 | MAC:62:f9:53:e3:75:ce | SSID:
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-45 | FC:0x4000 | SEQ:0010 | MAC:62:f9:53:e3:75:ce | SSID:L Bello_8361
[WARN] 2024-02-08T12:13:56Z Sensor overheat (65C)
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-59 | FC:0x4000 | SEQ:0011 | MAC:62:f9:53:e3:75:ce | SSID:TP-LINK_2560
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.L01 | RSSI:-50 | FC:0x4000 | SEQ:0012 | MAC:62:f9:53:e3:75:ce | SSID:
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-74 | FC:0x4000 | SEQ:0013 | MAC:62:f9:53:e3:75:ce | SSID:L Bello_8361
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-35 | FC:0x4000 | SEQ:0014 | MAC:62:f9:53:e3:75:ce | SSID:TP-LINK_2560
[ERROR] 2024-02-08T12:13:56Z Packet dropped (queue full)
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-94 | FC:0x4000 | SEQ:0015 | MAC:62:f9:53:e3:75:ce | SSID:
[DATA] 2024-02-08T12:13:56Z | SRC:UPM-N-10.B1.P0.H01 | RSSI:-70 | FC:0x4000 | SEQ:0016 | MAC:62:f9:53:e3:75:ce | SSID:L Bello_8361
